age,attendance_percent,avg_marks,prev_failures,parents_education,family_income,extracurricular,behavior_issues,dropout
18,68.3,92.9,2,4,1,2,2,0
23,63.8,90.4,3,4,2,2,1,0
21,93.3,57.1,0,6,5,2,1,0
18,91.8,65.7,3,1,4,3,1,1
16,81.2,38.1,1,4,0,0,1,0
18,96.2,29.2,1,6,4,1,1,0
20,100.0,45.4,0,3,1,0,1,0
18,99.6,92.5,2,3,3,6,2,0
16,72.1,85.6,0,2,2,3,0,0
20,95.2,77.7,1,5,2,3,1,0
25,83.2,40.8,0,3,3,3,1,0
22,100.0,55.8,1,6,1,3,0,0
22,78.1,52.8,0,5,1,1,2,0
24,74.7,66.7,0,3,3,4,1,1
25,70.8,65.4,0,4,1,3,0,0
25,82.8,50.0,0,0,5,3,1,1
18,87.0,77.0,0,2,2,5,0,0
22,87.3,74.6,0,4,1,4,2,0
16,85.2,55.4,1,4,3,4,1,1
19,90.1,76.1,1,3,2,3,0,0
19,76.7,92.5,1,5,1,6,3,0
20,66.9,98.6,0,2,2,3,0,0
22,65.6,79.8,0,3,5,1,1,0
22,94.6,79.2,0,3,2,1,2,0
19,87.1,65.2,2,3,2,5,1,0
22,52.2,90.6,2,6,2,1,3,0
18,96.5,48.6,0,4,0,1,2,0
21,100.0,88.3,0,3,1,4,3,0
17,69.3,64.2,2,3,4,5,1,0
25,85.0,99.8,2,2,5,1,1,0
24,72.9,81.8,2,3,1,2,2,0
20,89.4,68.6,1,4,2,0,3,1
21,62.5,65.3,0,6,5,2,3,0
19,78.9,80.5,0,5,1,2,2,0
25,94.7,79.5,0,3,1,2,2,0
22,98.5,62.0,0,3,4,0,0,0
24,86.4,71.8,0,1,3,5,1,0
22,74.9,87.9,0,1,1,0,0,0
16,56.1,42.7,0,3,2,3,0,0
16,68.6,84.5,0,3,0,0,0,0
24,73.0,80.4,0,2,2,1,0,0
24,69.5,93.7,0,4,3,1,0,0
19,80.9,55.7,0,4,2,1,3,0
24,74.9,70.1,1,2,3,1,1,0
18,82.6,74.1,1,5,2,0,0,0
22,98.0,84.8,0,2,1,1,2,1
21,73.9,78.6,0,3,0,2,2,0
23,59.3,45.2,0,5,4,3,1,0
24,69.5,75.8,1,3,3,5,0,1
20,88.8,100.0,0,6,1,4,0,0
16,90.2,82.2,0,1,2,4,1,1
18,86.1,100.0,2,4,4,4,0,0
25,99.5,90.9,0,4,2,1,1,0
23,77.2,97.2,0,4,2,0,2,0
21,100.0,76.2,0,5,1,1,1,0
23,92.3,80.4,0,4,1,1,1,1
24,42.1,75.1,0,5,4,2,0,1
19,100.0,70.1,2,2,2,2,1,0
16,68.5,84.8,0,3,3,4,1,0
16,64.5,59.6,1,4,4,3,1,1
25,87.9,100.0,0,4,5,2,3,0
19,53.9,51.4,0,6,1,3,0,0
22,69.6,86.2,0,2,1,3,3,1
17,100.0,97.6,0,3,2,1,3,1
18,88.3,66.5,0,4,0,3,0,0
16,92.2,47.7,0,5,3,3,0,0
20,70.1,93.1,2,6,4,1,1,1
16,56.9,74.1,0,3,3,3,1,0
23,90.6,86.3,0,1,1,2,0,0
16,94.0,67.8,0,3,1,5,0,0
16,93.3,100.0,0,3,2,2,3,1
17,83.1,27.7,0,7,4,4,0,0
17,65.5,77.5,0,3,2,4,1,0
21,100.0,96.8,0,3,0,4,2,0
22,87.2,72.1,0,3,1,3,2,0
20,77.4,76.0,1,3,5,0,1,1
16,77.5,61.3,0,5,3,3,0,1
16,82.2,70.4,0,1,4,4,2,0
18,96.0,36.6,1,3,3,2,2,0
17,82.8,55.6,3,6,2,1,4,0
20,92.9,54.3,1,2,1,2,0,0
25,82.3,83.4,0,4,2,1,2,1
21,78.3,58.6,1,3,2,0,1,1
22,89.6,59.2,0,4,4,1,3,0
19,89.0,62.4,0,1,1,1,1,0
22,77.5,55.0,2,3,1,4,1,1
23,68.8,75.4,0,3,2,5,0,0
16,85.1,77.6,3,2,1,4,1,0
21,81.2,86.5,1,3,3,2,1,0
23,71.7,83.1,1,2,1,3,0,0
20,67.4,81.1,1,4,1,1,1,0
19,86.2,63.4,0,6,2,5,1,1
17,88.3,62.1,0,1,2,4,2,0
21,74.6,52.6,2,2,2,4,0,1
21,71.3,52.2,1,5,1,4,2,0
16,67.5,73.9,2,4,4,3,2,0
24,85.7,55.6,2,1,1,1,0,0
21,67.9,99.4,3,3,0,2,0,0
18,100.0,69.2,1,2,3,2,2,0
19,73.8,100.0,0,2,1,1,0,0
19,43.6,81.4,0,6,2,0,0,1
18,79.5,54.5,1,5,5,2,1,1
25,78.9,68.8,0,4,3,1,1,0
18,96.7,36.5,0,2,3,1,1,0
18,84.3,73.8,0,1,2,3,3,0
19,67.5,56.3,2,5,1,3,2,0
22,75.7,47.7,2,0,2,2,2,0
19,84.9,100.0,1,3,2,2,1,1
24,47.5,90.6,0,2,5,2,3,0
16,100.0,90.1,1,4,1,2,1,1
23,67.5,85.6,1,2,2,4,2,0
22,100.0,45.3,0,3,4,4,1,0
17,85.9,62.0,0,5,3,3,0,0
23,89.4,63.2,0,4,5,2,2,0
16,97.2,35.8,0,1,3,4,1,1
24,88.6,58.9,1,4,2,1,3,1
24,90.1,59.1,0,2,4,4,0,0
17,77.5,72.5,3,3,1,1,4,1
22,85.6,100.0,0,4,1,0,0,0
25,71.2,69.6,0,2,3,3,1,0
18,74.8,72.5,0,3,3,3,1,1
22,100.0,65.0,0,4,4,1,1,0
25,67.9,84.8,0,6,5,2,2,0
24,82.3,48.5,0,3,4,2,1,0
19,81.7,100.0,0,0,0,2,0,0
16,75.3,67.5,0,3,3,0,1,0
17,87.7,62.1,1,3,3,4,1,0
16,88.8,89.4,0,3,5,3,1,0
20,66.1,52.2,0,3,2,5,0,0
20,81.5,84.4,1,4,1,2,1,0
22,63.8,98.1,0,1,4,4,3,1
24,91.8,65.2,1,2,2,2,0,0
24,82.6,100.0,2,3,2,4,1,0
18,81.2,82.9,0,3,2,1,0,0
18,89.9,83.1,2,7,2,1,0,0
18,75.9,97.3,1,3,3,3,1,0
19,93.7,100.0,2,5,2,6,1,0
23,65.8,75.2,1,5,3,1,1,0
21,100.0,85.9,0,5,0,4,2,0
23,71.7,97.9,2,0,2,1,2,1
16,54.6,46.8,0,6,2,4,2,1
23,75.1,35.4,0,1,3,1,1,0
19,73.4,68.8,0,0,2,3,1,0
16,75.0,34.9,0,3,3,2,1,0
23,83.5,63.7,0,2,3,1,2,0
19,96.5,76.3,1,2,3,4,1,0
21,77.1,64.5,2,2,3,3,0,0
23,69.6,67.2,0,2,2,4,0,0
19,63.1,50.0,3,4,2,1,1,0
18,73.0,85.8,2,2,2,1,0,1
24,51.7,48.7,0,3,0,2,0,0
18,69.1,27.9,0,7,4,1,1,0
24,98.7,65.9,1,3,4,1,0,0
17,67.6,88.3,1,4,2,1,1,0
17,89.4,71.6,1,6,2,2,2,0
17,61.6,46.7,1,1,4,0,0,1
21,100.0,72.0,0,3,1,4,0,0
18,100.0,78.8,0,5,3,4,0,0
24,88.9,71.8,0,6,0,4,1,0
19,100.0,64.7,0,4,2,4,1,1
16,85.3,79.7,1,1,4,1,1,1
19,91.5,35.2,1,6,2,2,1,1
16,98.9,52.1,0,2,3,2,1,0
20,82.7,43.9,3,3,4,2,2,1
19,56.7,97.0,0,3,3,5,0,1
23,91.8,84.2,1,3,3,1,2,0
23,72.9,73.7,1,5,2,0,1,0
22,74.0,41.0,3,5,3,3,0,1
18,84.5,84.9,1,4,4,2,1,1
16,88.5,97.7,0,0,5,3,0,1
16,82.3,81.4,3,4,3,3,1,0
18,89.5,69.3,1,4,3,1,0,1
21,69.4,82.6,0,3,1,4,0,0
22,79.4,75.5,1,6,4,4,1,0
21,92.7,88.5,2,5,3,3,2,1
21,100.0,88.1,0,4,3,0,3,1
21,100.0,65.6,0,1,1,2,1,0
18,86.5,56.8,1,4,4,0,1,1
21,92.6,62.0,1,6,0,4,4,0
23,100.0,80.7,0,3,1,5,0,0
17,69.9,63.2,0,5,3,2,0,1
20,89.4,55.0,0,3,3,3,1,1
16,91.5,70.0,1,4,2,1,1,0
16,100.0,92.1,1,4,3,5,1,0
20,62.9,72.7,0,4,2,1,1,0
18,65.9,64.5,0,5,0,1,0,1
19,80.3,76.4,0,2,1,3,1,1
18,85.7,71.7,1,2,4,2,1,1
16,96.8,31.3,0,4,1,2,2,0
16,87.8,83.9,0,2,1,0,3,0
20,77.7,78.1,0,3,3,2,1,1
21,86.2,70.3,1,0,2,3,1,0
18,84.5,91.2,0,1,3,7,1,0
24,100.0,94.3,0,4,4,6,0,0
20,82.5,86.0,2,4,4,1,3,1
23,74.3,53.0,0,1,2,4,2,0
16,86.7,53.7,0,2,2,3,1,1
20,83.0,92.3,2,1,3,2,2,0
18,56.4,32.5,0,3,2,1,1,0
16,79.8,67.0,0,1,0,5,0,1
19,78.5,78.8,0,3,2,2,2,0
20,71.8,35.0,1,4,0,2,1,0
22,95.5,74.7,0,4,5,2,3,0
16,68.2,89.1,1,2,3,1,1,0
18,86.8,40.3,0,4,1,1,2,1
17,77.8,100.0,0,6,1,2,1,0
24,81.6,49.8,1,3,5,6,2,0
25,86.2,81.5,3,3,2,4,0,1
21,60.4,68.3,0,4,3,3,1,0
25,82.9,71.4,1,2,2,0,2,0
18,100.0,44.3,0,4,4,5,1,1
23,56.6,95.2,0,5,3,4,1,0
23,79.1,76.5,0,3,0,4,1,0
17,96.8,100.0,1,4,1,9,4,0
21,84.5,44.9,0,4,2,1,2,0
22,90.3,66.4,0,0,4,2,1,0
17,44.4,74.2,0,2,1,3,2,0
25,89.0,71.2,0,5,3,2,1,1
17,68.6,83.3,2,6,2,6,3,0
25,84.6,66.1,3,5,4,3,1,0
16,79.6,100.0,1,6,3,2,1,0
23,100.0,70.8,0,3,2,4,0,1
16,88.2,20.0,0,2,1,2,1,0
24,78.3,71.7,1,3,0,3,1,0
21,57.4,95.2,3,1,3,4,2,0
22,81.8,51.5,0,5,2,1,2,0
25,92.3,50.3,1,7,2,3,3,0
22,78.8,53.2,3,5,5,2,0,0
25,72.4,48.5,2,4,2,5,1,0
18,71.4,60.4,0,2,3,5,1,0
17,88.0,88.2,0,2,1,3,0,0
24,91.4,100.0,0,3,0,2,1,1
23,100.0,21.5,0,4,2,2,1,0
25,65.1,62.4,0,3,3,2,0,0
22,87.9,76.1,0,6,2,0,0,1
24,78.2,74.1,1,5,4,1,2,0
19,78.6,100.0,0,1,2,3,1,0
19,86.0,29.8,0,1,2,2,2,1
16,86.1,20.0,1,4,4,3,1,0
23,87.9,100.0,1,2,2,5,0,0
18,64.1,85.1,1,5,1,1,0,1
22,68.8,58.6,0,4,0,2,0,0
17,100.0,73.4,1,2,3,2,1,1
17,76.7,74.9,0,3,4,0,3,1
22,84.6,58.1,0,3,0,2,1,0
21,95.8,72.8,1,5,2,5,0,0
18,87.0,77.1,0,0,3,5,0,1
24,88.2,100.0,0,5,4,4,1,0
25,93.4,89.3,0,4,2,3,1,0
21,48.3,100.0,0,4,4,1,1,0
25,72.7,43.1,0,0,2,2,0,0
25,87.0,63.1,1,4,1,2,1,0
21,100.0,74.8,0,4,0,5,1,0
16,81.0,31.6,3,3,2,2,2,1
19,67.3,93.6,0,5,2,3,0,0
25,67.7,82.8,0,4,4,3,0,1
21,93.3,62.7,0,5,1,1,1,0
21,76.7,66.3,0,2,2,7,0,0
20,79.9,95.1,1,5,0,4,1,0
16,89.2,54.1,0,2,3,1,0,1
23,36.5,95.9,0,5,4,3,0,0
20,100.0,65.0,1,6,1,4,2,1
20,69.0,85.1,0,3,2,2,1,0
22,83.6,71.7,2,3,1,2,0,0
19,54.4,100.0,1,4,2,4,0,0
21,73.7,52.3,0,1,1,3,2,0
19,98.7,58.5,0,3,2,3,1,0
18,51.3,39.9,0,3,3,1,3,0
22,96.9,48.1,1,5,2,2,2,0
23,75.9,84.3,0,5,1,0,2,0
19,87.3,100.0,0,4,2,2,1,0
17,89.9,86.5,0,4,3,2,2,0
25,86.6,69.9,0,4,2,2,1,0
18,67.0,52.1,0,3,1,1,2,0
16,74.5,88.0,1,3,4,3,2,0
23,58.1,51.0,0,4,2,3,1,1
18,87.4,43.0,2,6,1,1,1,0
25,100.0,63.8,1,4,1,2,1,0
22,52.6,29.3,0,4,5,3,1,0
25,68.6,42.4,0,5,1,0,1,1
20,77.3,100.0,0,3,4,3,4,0
25,82.6,38.7,1,4,2,1,1,0
20,93.2,46.2,0,3,2,1,0,0
22,77.7,71.4,3,2,3,4,1,0
24,75.3,72.5,1,4,0,1,2,0
20,96.5,65.3,0,4,2,3,2,0
16,89.9,29.9,1,3,2,3,1,0
25,88.1,87.0,0,4,4,3,0,0
25,81.7,61.1,1,4,2,1,0,0
16,94.7,94.4,0,5,2,2,0,1
17,70.2,57.1,0,5,1,3,0,1
21,68.1,89.6,0,3,2,2,2,0
24,91.2,95.9,2,6,1,3,1,1
23,55.6,60.7,0,4,1,3,1,0
20,81.4,87.6,3,5,1,5,2,1
16,75.3,43.4,0,4,3,3,1,0
22,58.9,75.3,0,2,2,2,0,0
20,66.0,94.4,0,1,2,3,1,1
21,78.4,80.4,0,4,3,3,0,1
22,95.5,100.0,0,3,5,3,1,0
18,70.2,81.5,0,4,3,1,2,0
25,98.2,62.7,1,3,2,4,3,1
18,80.9,100.0,0,3,3,3,0,0
20,99.7,100.0,0,2,4,5,1,1
21,70.9,37.9,0,4,2,2,1,1
24,79.3,54.3,1,2,2,5,1,1
20,85.5,49.2,0,4,0,3,1,0
16,77.3,82.9,0,3,4,2,0,0
19,94.3,81.4,0,5,1,2,1,0
20,46.9,81.3,1,1,0,2,2,1
25,100.0,37.4,1,2,2,3,3,1
25,92.9,57.2,0,4,4,2,2,0
20,77.4,67.0,0,4,2,5,0,0
22,71.7,33.6,2,2,3,0,1,1
19,67.0,52.6,3,6,4,1,1,1
16,89.7,97.1,1,2,2,3,3,0
20,94.9,38.9,3,3,2,0,3,0
22,77.6,99.1,1,2,2,2,4,0
25,96.6,91.8,1,3,4,4,2,0
25,66.4,64.2,0,3,3,4,1,1
21,63.7,57.0,0,2,4,3,2,0
20,100.0,86.6,0,5,1,2,3,1
19,88.9,54.2,1,3,2,2,1,1
17,100.0,55.2,2,4,0,1,2,0
19,67.2,69.5,1,2,2,3,3,1
25,66.1,27.4,0,3,4,3,1,0
25,74.6,41.0,0,0,2,0,0,1
18,67.6,63.7,0,5,1,2,0,0
25,90.6,79.5,0,4,0,0,0,1
16,68.7,54.0,1,5,2,5,1,0
23,62.4,66.0,2,3,1,1,1,1
20,82.1,37.7,0,5,2,4,1,0
19,60.7,88.6,0,4,4,2,1,0
23,53.0,74.4,1,0,2,3,3,0
22,82.0,76.2,0,2,3,1,0,0
17,53.8,79.8,2,3,2,0,2,0
16,91.6,71.6,0,4,3,4,0,1
19,59.1,60.3,0,1,1,4,1,0
23,46.4,92.6,0,4,4,4,1,1
17,75.6,73.1,0,3,3,1,2,1
18,82.2,66.7,0,3,1,2,1,0
16,87.4,69.8,0,2,1,3,0,0
16,82.6,69.4,0,4,1,3,1,1
18,64.1,66.5,0,0,3,3,0,0
20,90.7,78.9,0,1,2,2,1,0
18,94.4,51.3,0,4,2,2,1,0
16,61.9,52.7,0,3,2,5,1,1
16,77.3,81.2,1,3,4,2,2,0
23,75.9,67.1,2,2,4,2,3,0
25,83.3,89.4,0,3,2,1,1,0
17,76.9,78.2,0,1,2,2,0,0
18,79.0,58.9,0,3,4,4,2,0
17,89.6,81.5,0,3,3,3,1,1
18,63.3,93.9,1,3,2,1,1,0
22,91.1,78.9,1,7,0,3,1,0
16,97.1,83.3,1,3,3,2,1,0
25,100.0,66.6,0,3,1,1,2,0
23,47.8,89.9,0,3,0,0,3,0
25,77.3,58.4,2,2,4,3,3,1
25,50.5,76.8,0,5,2,4,2,1
25,43.5,100.0,0,4,4,4,2,0
17,82.2,80.8,3,2,2,1,0,0
18,74.0,61.6,1,5,4,3,2,1
24,84.5,61.5,1,0,2,2,0,0
22,87.3,68.6,0,7,3,3,2,0
19,98.7,87.0,0,5,2,1,0,0
25,80.8,72.9,0,4,0,2,1,0
20,100.0,57.0,1,1,2,2,0,0
17,84.6,57.0,0,2,3,6,1,0
23,100.0,73.0,1,2,1,6,1,0
19,45.0,70.8,1,2,2,3,0,0
24,100.0,79.1,0,3,1,2,2,1
20,77.3,88.3,0,6,0,1,2,0
24,50.8,100.0,0,3,3,3,2,0
19,86.3,40.8,1,4,5,2,2,0
25,75.5,83.7,1,4,2,3,2,1
20,88.7,72.0,1,5,2,2,3,0
24,95.2,33.1,0,0,5,4,1,1
23,57.7,95.0,0,3,3,3,1,0
18,95.2,78.4,1,5,3,2,2,1
16,80.1,86.0,0,5,1,2,1,0
18,100.0,36.0,1,6,2,3,0,0
19,76.9,65.6,1,4,2,1,2,1
17,72.9,48.4,0,2,2,7,0,0
16,80.4,100.0,0,3,4,2,1,1
22,81.5,92.9,0,0,2,3,0,0
23,70.1,56.4,0,4,0,2,2,0
22,72.6,39.3,1,4,4,2,3,1
20,61.6,73.9,1,4,2,2,0,1
16,73.5,91.8,2,6,4,3,0,1
22,90.1,35.3,1,4,2,3,0,0
22,77.9,51.4,0,3,0,2,1,1
24,95.1,47.9,0,2,2,1,1,0
18,77.2,87.3,1,5,2,1,1,0
24,58.5,62.6,0,2,1,3,0,0
16,89.0,63.4,1,2,2,2,1,1
16,69.9,73.5,1,2,2,2,1,0
19,76.5,52.4,0,3,3,2,1,1
24,98.6,41.1,0,1,1,2,0,0
21,62.6,97.4,0,6,2,1,1,0
18,82.5,99.2,2,6,1,4,1,0
16,79.4,73.6,0,6,2,2,1,0
19,90.5,75.0,2,0,1,3,1,0
24,92.8,95.2,0,6,0,1,1,0
18,84.0,73.1,3,7,2,0,1,0
24,74.6,61.6,0,6,1,3,2,0
22,87.1,70.8,0,4,2,1,0,0
19,100.0,97.9,1,4,5,2,0,0
18,79.6,71.1,2,1,2,1,0,0
25,76.0,56.6,0,5,2,4,1,0
20,85.8,72.9,1,1,4,2,0,0
20,80.6,83.1,2,3,4,2,0,0
18,59.9,80.7,0,7,4,3,1,0
24,83.6,81.1,0,3,0,2,1,0
19,59.8,53.5,2,1,3,5,2,1
20,85.6,85.4,0,6,4,3,1,1
19,68.0,70.6,0,7,4,2,1,1
20,80.6,55.8,1,2,2,5,2,1
22,85.9,85.2,0,5,0,4,1,0
24,100.0,60.9,0,3,5,3,2,0
22,91.1,38.5,3,3,2,2,3,1
20,100.0,50.0,0,2,2,1,2,0
25,100.0,66.4,1,0,2,3,1,0
25,87.3,81.6,1,2,2,2,1,0
22,84.3,52.7,0,1,1,2,2,0
25,64.0,65.2,0,6,2,2,1,0
20,78.3,45.7,0,4,5,2,2,0
18,69.2,89.6,0,5,2,0,1,0
22,74.0,100.0,1,4,2,0,2,0
17,100.0,100.0,1,1,4,1,0,1
24,81.7,89.3,0,6,2,1,0,0
25,66.9,87.3,0,5,2,5,1,0
25,100.0,28.6,0,3,2,1,1,1
16,94.3,73.5,0,1,1,5,0,0
21,95.1,60.1,0,4,1,2,1,1
22,49.9,87.6,0,4,3,0,0,1
23,100.0,20.0,1,5,4,3,1,0
25,71.6,73.9,0,1,3,2,1,0
24,91.7,65.7,0,1,0,2,0,0
17,100.0,92.4,1,4,2,2,1,0
25,100.0,100.0,0,4,0,5,0,1
17,65.3,51.4,0,0,2,4,1,0
20,58.3,52.3,0,3,1,6,0,1
20,100.0,74.6,0,4,4,6,2,0
21,82.1,100.0,0,4,1,1,0,1
18,72.5,71.2,2,3,0,2,1,0
23,89.3,44.4,0,3,2,1,1,0
16,77.6,57.9,3,5,1,1,0,0
21,90.5,74.1,0,6,3,7,0,0
19,81.0,74.8,0,2,4,2,1,0
16,90.8,55.9,0,2,0,3,0,0
22,66.6,57.5,0,6,2,4,1,0
24,100.0,50.4,0,3,5,2,1,0
19,90.5,92.8,0,4,3,0,0,0
19,89.7,53.3,0,4,5,3,1,0
21,63.2,60.7,0,2,1,4,4,1
18,100.0,60.1,0,4,1,1,2,1
21,79.8,37.9,0,4,1,3,0,1
22,90.9,52.7,0,4,2,4,0,1
25,75.2,94.6,1,1,3,2,1,0
25,83.9,45.8,2,7,1,4,0,0
18,84.5,50.7,0,3,2,1,0,0
22,37.7,43.3,0,4,1,4,0,0
18,88.7,68.2,0,5,4,1,0,0
17,100.0,100.0,2,3,0,0,1,0
25,88.1,67.3,0,5,1,3,1,0
19,65.6,71.3,1,6,3,2,0,0
23,89.7,54.1,0,3,0,6,1,0
24,95.9,68.8,0,3,2,4,1,0
22,87.7,94.6,0,6,2,3,1,0
16,78.9,72.9,0,2,4,2,3,0
18,76.4,100.0,2,0,3,0,4,0
24,76.3,95.2,0,6,3,2,1,0
16,90.5,68.3,0,5,5,5,2,0
24,58.9,67.9,0,6,5,1,0,0
23,74.4,100.0,1,1,3,2,1,0
16,100.0,72.7,0,2,2,3,1,0
21,100.0,98.2,0,1,3,2,1,0
20,57.8,100.0,0,4,2,2,0,0
21,63.0,65.9,0,4,5,2,0,1
25,75.9,77.0,1,3,3,5,1,0
20,93.4,89.6,0,1,1,2,1,0
21,52.6,85.4,0,4,0,0,4,0
20,79.2,85.2,0,4,0,2,0,0
20,72.9,43.3,2,1,1,2,3,1
19,99.9,53.0,0,6,1,2,0,0
18,54.8,60.1,0,2,2,3,3,0
18,81.4,94.3,2,4,1,5,2,0
19,74.1,45.3,0,5,3,2,0,1
24,100.0,100.0,3,4,1,3,0,1
17,89.0,85.6,0,2,1,3,0,1
24,71.2,93.1,0,3,2,2,4,0
16,92.8,51.4,1,5,4,3,1,1
16,74.2,71.4,2,2,2,2,1,0
20,95.0,76.0,0,4,2,1,0,0
21,76.4,75.1,2,7,2,3,3,1
21,95.8,75.9,0,7,1,3,0,0
18,86.5,64.5,1,3,2,3,0,0
22,100.0,72.7,0,5,1,0,1,0
24,79.2,90.7,0,7,2,1,1,0
25,85.7,46.7,2,3,3,3,0,0
23,72.8,100.0,2,2,3,3,1,1
21,80.0,89.6,0,1,1,0,0,0
23,39.5,50.7,0,1,3,3,1,0
20,87.0,77.7,0,5,1,1,1,0
23,100.0,88.0,0,4,1,2,0,0
25,85.9,45.3,0,5,2,3,1,0
19,60.3,70.8,0,5,2,4,2,0
25,68.0,68.4,0,4,1,1,0,1
23,43.5,57.1,1,4,3,4,1,0
25,94.7,71.8,0,0,4,5,1,0
17,64.9,58.0,0,5,1,6,0,1
20,79.6,97.5,0,3,2,4,1,0
24,77.7,57.5,1,4,1,1,0,0
19,100.0,85.8,0,0,2,0,0,0
21,81.3,36.9,0,6,0,2,2,0
16,92.1,66.8,1,6,5,2,0,0
24,88.2,70.2,1,3,2,0,1,0
16,100.0,66.1,1,4,3,3,2,0
20,76.4,62.1,2,4,1,2,0,0
19,100.0,56.6,1,2,4,3,1,0
18,50.2,85.1,1,2,4,4,3,1
21,92.9,90.0,0,4,3,1,1,0
17,67.0,68.4,0,1,4,2,0,0
18,72.6,48.1,0,3,1,2,1,1
20,88.5,100.0,0,3,2,1,0,0
